Configuration,Accuracy,evaluation,evaluation \%,normal,normal \%,distroted,distorted \%,trainingduration
2000-8,10\%,50,46.30\%,69,13.80\%,74,14.80\%,0.22
2000-8,1\%,105,97.22\%,93,18.60\%,79,15.80\%,0.34
2000-8,0.10\%,108,100.00\%,32,6.40\%,90,18.00\%,0.47
2000-500-8,10\%,48,44.44\%,46,9.20\%,28,5.60\%,42.45
2000-500-8,1\%,102,94.44\%,75,15.00\%,43,8.60\%,63.8
2000-500-8,0.10\%,108,100.00\%,59,11.80\%,54,10.80\%,76.22
2000-1000-8,10\%,32,29.63\%,73,14.60\%,80,16.00\%,86.98
2000-1000-8,1\%,103,95.37\%,24,4.80\%,36,7.20\%,120.96
2000-1000-8,0.10\%,108,100.00\%,87,17.40\%,50,10.00\%,145.82
2000-1500-8,10\%,45,41.67\%,30,6.00\%,27,5.40\%,137.53
2000-1500-8,1\%,105,97.22\%,18,3.60\%,36,7.20\%,207.33
2000-1500-8,0.10\%,108,100.00\%,103,20.60\%,35,7.00\%,230.98
2000-2000-8,10\%,49,45.37\%,75,15.00\%,11,2.20\%,189.4
2000-2000-8,1\%,104,96.30\%,34,6.80\%,46,9.20\%,262.35
2000-2000-8,0.10\%,108,100.00\%,110,22.00\%,27,5.40\%,305.6
2000-2500-8,10\%,41,37.96\%,40,8.00\%,29,5.80\%,238.29
2000-2500-8,1\%,100,92.59\%,62,12.40\%,41,8.20\%,343.44
2000-2500-8,0.10\%,108,100.00\%,54,10.80\%,43,8.60\%,381.68
2000-3000-8,10\%,43,39.81\%,44,8.80\%,22,4.40\%,301.65
2000-3000-8,1\%,105,97.22\%,61,12.20\%,50,10.00\%,412.99
2000-3000-8,0.10\%,108,100.00\%,39,7.80\%,17,3.40\%,445.79
2000-3500-8,10\%,38,35.19\%,17,3.40\%,40,8.00\%,334.87
2000-3500-8,1\%,103,95.37\%,45,9.00\%,54,10.80\%,461.98
2000-3500-8,0.10\%,108,100.00\%,91,18.20\%,24,4.80\%,520.07
2000-4000-8,10\%,30,27.78\%,24,4.80\%,34,6.80\%,380.71
2000-4000-8,1\%,103,95.37\%,64,12.80\%,39,7.80\%,531.18
2000-4000-8,0.10\%,108,100.00\%,51,10.20\%,11,2.20\%,613.68
2000-4500-8,10\%,58,53.70\%,73,14.60\%,0,0.00\%,498.38
2000-4500-8,1\%,102,94.44\%,41,8.20\%,7,1.40\%,621.92
2000-4500-8,0.10\%,106,98.15\%,76,15.20\%,29,5.80\%,713.27
